BU_CODE,I01_buurtcode,I02_buurtnaam,I09_aantal_woningen,I10_aantal_utiliteit,Woning_A30_Aansl_LabelA,Woning_A31_Aansl_LabelB,Woning_A32_Aansl_LabelC,Woning_A33_Aansl_LabelD,Woning_A34_Aansl_LabelE,Woning_A35_Aansl_LabelF,,,Util_A30_Aansl_LabelA,Util_A31_Aansl_LabelB,Util_A32_Aansl_LabelC,Util_A33_Aansl_LabelD,Util_A34_Aansl_LabelE,Util_A35_Aansl_LabelF
BU03631000,BU03631000,Coenhaven/Mercuriushaven,11666,280,11662,0,0,0,0,0,11662,4,51,186,3,0,40,0
BU03631001,BU03631001,Alfa-driehoek,1390,56,1388,0,0,0,0,0,1388,2,8,39,7,0,2,0
BU03631100,BU03631100,Sloterdijk II,8,85,0,0,0,0,0,0,0,8,5,56,4,0,20,0
BU03631105,BU03631105,Teleport,3542,447,2937,0,0,0,0,0,2937,605,6,424,14,0,1,0
BU03631200,BU03631200,Houthavens West,1265,65,0,0,0,0,0,0,0,1265,5,59,0,0,0,0
BU03631305,BU03631305,Spaarndammerbuurt Noordwest,1074,6,0,0,0,0,0,0,0,1074,0,3,0,0,2,0
BU03631306,BU03631306,Westergasfabriek,0,40,0,0,0,0,0,0,0,0,1,7,0,0,0,0
BU03631307,BU03631307,Overbraker Binnenpolder,991,13,986,0,0,0,0,0,986,5,5,4,1,0,3,0
BU03633600,BU03633600,Woon- en Groengebied Sloterdijk,226,14,0,0,0,0,0,0,0,226,0,8,4,0,2,0
BU03633601,BU03633601,Bedrijventerrein Sloterdijk I,4431,103,4417,0,0,0,0,0,4417,14,12,49,15,0,23,0
BU03636601,BU03636601,Oostzanerdijk,220,52,86,0,0,0,0,0,86,134,6,32,3,0,11,0
BU03636602,BU03636602,Walvisbuurt,888,11,342,0,0,0,0,0,342,546,4,4,2,0,0,0
BU03636604,BU03636604,Noorder IJplas,2,3,0,0,0,0,0,0,0,2,2,1,0,0,0,0
BU03637104,BU03637104,Cornelis Douwesterrein,6240,77,6240,0,0,0,0,0,6240,0,18,58,0,0,0,0
